Review,Rating
"Surprisingly cheap, cheaper than I expected. Taste-wise, needs a tiny bit more of a kick. Perhaps a tiny bit more of seasoning as well. It’s fine, surely enjoyable, just too light to my palate. The main reason I dropped three stars is …",3
Affordable price with great taste.... Order double mixed steaks few days ago n its enough for my hungry stomach 😁 …,4
"This place is nice for personal, couple or family to eat. The dishes (steak) is very delicious, the price is quite cheap. Also the service is quickly. Two tumbs for Steak Moen-Moen.",5
"(+) low price but delicious taste
(+) Comfort place and friendly service",4
"A cozy place to spend your sparetime. The menus are all so damn good and not that pricy for a steak. I love the interior and very recommended for your 'me time'. And yes, you not only can eat steak but also chicken paprika which include rice for you who want to eat rice, so you don't meed to worry 👍 …",5
"Cheap price, I think they targetted student for their main customer, its taste nice though. 4/5 for me.",5
"Low price, nice service, friendly server, decently clean place, steak and beverages tastes pretty good. Would recommend",4
"The food quality is below standard, I ordered double tenderloin and they give me wrong kind of meat for the steak it's not even tenderloin from local cattle. The system here is not eat first and pay later so it's practically the opposite …",3
"Very affordable, I think this is the cheapest steak in town. Taste pretty good compared to the price. Unfortunately the place is not that clean since too many visitors come and go. Long queue to order & pay. The servers are polite & friendly though pretty slow.",4
"The location of the store is very easy to reach, it is directly can be seen from the main street, there is a proper parking lot and a wastafel (due to pandemic) in front of the store. The range price of the food is quite cheap, but compared to its taste, that is affordable af.",4
Nice place and taste,4
"Good and clean place. Packed with people at night. Their steak taste like rubber and their potato smell fishy. it taste like not fresh at all. The price is very cheap, so i can complain no more.",1
Recommended,5
the price is rather expensive for the student...,4
"In the menu, steaks are not served, in general the restaurant is good, the vibe and the atmosphere are lively",4
"New place from Moen-Moen steak besides in Matos. This place provides wider place, very comfy and it has second floor if you want to see the crowd from the street. The menus are just the same with Matos, the difference is just you have to …",4
Food and drinks are good (very good if you consider how cheap it is!) Services are nice and swift. Although it will be quite crowded at dinner time,5
The food is so good. And the price so affordable.,5
not bad laah :),4
Gud place to eat cheap steak. The food was not that bad. It was actually pretty good. But i didnt like the restaurant's ambiance.,4
"If you are considering a budget friendly place to eat steak then this most probably is your option
Tapi buat yang beneran considering kesejahteraan their palate, sepertinya bukan tempat yang pas.",3
"The food was cheap and very very worth to buy. But the atmosphere was so hot, so i cannot enjoy eating food and talking with my friends for a long time.",4
"Very cheap price with good enough taste. Overall worth it, but don't expect anything spectacular with its price",4
"The taste is so-so, but the price is good",5
Ok,5
"Nice place and the taste of food is delicious, and the price is cheap. Cheap but delicious",5
"..... Well, I can understand the pandemic hits everyone.. The quality downgraded from what I remembered 4 years ago..",1
Yummy,5
Bang for your small bucks,4
"The place is cozy, steak so delicious, and price is affordable",4
low price,5
💞💞💞 Yummy and cheap …,5
Good food. Good taste. Good service.  Good price 🙂 👍🏻 …,5
Nice place and also nice food 👌 keep it upp …,5
"realible price, good taste, clean, delicious",5
"Favorite place, low price and tasty
Also wifi",5
Good steak restaurant,5
So far..so good,5
Nice place yo visit,5
"The food is great, the service is awesome",5
Ok,5
"If you are looking for steaks at affordable prices, look no further!",3
"low price, good taste 👍🏻 …",5
Good taste and affordable price!,5
Wort it,5
A great place to find cheap and tasty hot plate steak,5
nice meals but the car parking makes trouble,4
has a good food with great price,4
The cheapest steak in town! And they have big portion,5
Nice place and good food with cheap price,5
Delicious N cheap price 😁 …,5
Steak with low price.. Many students eat here,4
Perfect,5
Affordable local steak with large place,5
Cozy place,4
Price = taste. Simple as that,4
Cozy,5
The steak meat breaded in flour and deep fried,3
Cheap and tasty!,5
Nice place & food,5
no parking lot fo cars,3
"Cozy place, good food, good moments",5
Yummy..,5
The steak is nice and reasonable,4
The taste food is so delicious.,5
a fair deal for you who craving for steak,3
Cheap and fast serving,5
Fav place,5
My favourite and him,5
Steak? LOL,2
Not bad,4
Ceaper n low price,3
the waitress are so friendly,5
Familiar place and relax 😊 …,4
Okay,5
comfortable & friendly👍 …,5
Ok,2
Recommended,5
Endull double chiken,5
Ok,5
Ok,5
👍🏻👌🏽 …,5
Liked it,4
worth it,4
Like it,4
Nice place :),4
Ok,5
Ok,5
mumer,5
Top,5
Mboiss,1
Food that worth the price,4
Ok,5
nice,5
Good,4
nice service,4
Tenderloin wasn't tender,2
Yummy,4
Good,5
Good,5
